Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm)
17/9/2023,1,1,16,8.2,4,17,23
17/9/2023,1,2,16,8.2,4,14,21
17/9/2023,1,3,16,8.2,4,10,15
17/9/2023,1,4,16,8.2,4,17,27
17/9/2023,1,5,16,8.2,4,14,18
17/9/2023,1,6,16,8.2,4,18,25
17/9/2023,1,7,16,8.2,5,20,31
17/9/2023,1,8,16,8.2,4,17,24
17/9/2023,1,9,16,8.2,4,18,26
17/9/2023,1,10,16,8.2,4,14,21
17/9/2023,1,11,16,8.2,4,10,17
17/9/2023,1,12,16,8.2,4,16,24
17/9/2023,1,13,16,8.2,4,14,21
17/9/2023,1,14,16,8.2,4,17,25
17/9/2023,1,15,16,8.2,5,19,31
17/9/2023,1,16,16,8.2,5,17,28
17/9/2023,1,17,16,8.2,4,15,23
17/9/2023,1,18,16,8.2,4,10,17
17/9/2023,1,19,16,8.2,4,11,19
17/9/2023,1,20,16,8.2,4,16,25
17/9/2023,1,21,16,8.2,4,13,21
17/9/2023,1,22,16,8.2,4,17,26
17/9/2023,1,23,16,8.2,4,19,27
17/9/2023,1,24,16,8.2,5,16,21
17/9/2023,1,25,16,8.2,4,15,23
17/9/2023,1,26,16,8.2,4,13,19
17/9/2023,1,27,16,8.2,5,10,18
17/9/2023,1,28,16,8.2,4,17,26
17/9/2023,1,29,16,8.2,5,10,15
17/9/2023,1,30,16,8.2,4,15,22
17/9/2023,1,31,16,8.2,5,19,29
17/9/2023,1,32,16,8.2,4,17,26
17/9/2023,1,33,16,8.2,4,21,31
17/9/2023,1,34,16,8.2,4,17,29
17/9/2023,1,35,16,8.2,5,16,22
17/9/2023,1,36,16,8.2,4,11,18
17/9/2023,1,37,16,8.2,5,11,18
17/9/2023,1,38,16,8.2,5,16,24
17/9/2023,1,39,16,8.2,4,14,21
17/9/2023,1,40,16,8.2,4,17,25
17/9/2023,2,1,16,8.2,3,10,18
17/9/2023,2,2,16,8.2,3,10,18
17/9/2023,2,3,16,8.2,3,14,23
17/9/2023,2,4,16,8.2,3,16,25
17/9/2023,2,5,16,8.2,3,8,13
17/9/2023,2,6,16,8.2,3,16,24
17/9/2023,2,7,16,8.2,3,16,25
17/9/2023,2,8,16,8.2,3,21,32
17/9/2023,2,9,16,8.2,3,10,14
17/9/2023,2,10,16,8.2,3,9,16
17/9/2023,2,11,16,8.2,3,11,19
17/9/2023,2,12,16,8.2,3,12,22
17/9/2023,2,13,16,8.2,3,10,15
17/9/2023,2,14,16,8.2,3,13,20
17/9/2023,2,15,16,8.2,3,16,26
17/9/2023,2,16,16,8.2,3,18,29
17/9/2023,2,17,16,8.2,3,8,16
17/9/2023,2,18,16,8.2,3,12,19
17/9/2023,2,19,16,8.2,3,12,21
17/9/2023,2,20,16,8.2,3,14,23
17/9/2023,2,21,16,8.2,3,8,16
17/9/2023,2,22,16,8.2,3,18,26
17/9/2023,2,23,16,8.2,3,11,19
17/9/2023,2,24,16,8.2,3,11,19
17/9/2023,2,25,16,8.2,3,11,19
17/9/2023,2,26,16,8.2,3,9,16
17/9/2023,2,27,16,8.2,3,12,17
17/9/2023,2,28,16,8.2,3,11,19
17/9/2023,2,29,16,8.2,3,12,20
17/9/2023,2,30,16,8.2,3,8,15
17/9/2023,2,31,16,8.2,3,9,16
17/9/2023,2,32,16,8.2,3,14,23
17/9/2023,2,33,16,8.2,3,12,19
17/9/2023,2,34,16,8.2,3,8,16
17/9/2023,2,35,16,8.2,3,10,20
17/9/2023,2,36,16,8.2,3,14,20
17/9/2023,2,37,16,8.2,3,10,17
17/9/2023,2,38,16,8.2,3,11,19
17/9/2023,2,39,16,8.2,3,12,19
17/9/2023,2,40,16,8.2,3,10,19
18/9/2023,1,1,16,8.2,4,17,25
18/9/2023,1,2,16,8.2,4,14,21
18/9/2023,1,3,16,8.2,4,11,17
18/9/2023,1,4,16,8.2,4,18,28
18/9/2023,1,5,16,8.2,4,14,20
18/9/2023,1,6,16,8.2,4,18,26
18/9/2023,1,7,16,8.2,5,22,33
18/9/2023,1,8,16,8.2,4,17,26
18/9/2023,1,9,16,8.2,4,19,27
18/9/2023,1,10,16,8.2,4,16,23
18/9/2023,1,11,16,8.2,4,13,19
18/9/2023,1,12,16,8.2,4,17,25
18/9/2023,1,13,16,8.2,4,15,22
